"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"BAG4",9.50187596263399,9.43133195158672,9.59784906144351,9.65862603739177,10.0938142893137,9.44804501581254
"TBC1D31",7.56325139353815,7.93327315837372,8.06750049067134,7.50891229708725,7.65698029101682,7.69887412572141
"NTAQ1",7.87525037177475,7.95765168187879,7.93003831661309,8.05678424039087,8.15126976900503,8.31484858976721
"ATAD2",9.13074809818528,9.74054110418677,9.54223428924763,9.80466878210685,9.40985628172414,9.83628394432706
"FBXO32",11.2152195290234,9.92147409790165,11.2427172858039,10.8416202160803,10.810501659788,9.72774117077665
"NSMCE2",7.66945631703779,8.02252215760748,8.06313467022998,7.99424519700435,7.80184333212848,7.74807247318913
"ZNF689",7.50144851481615,7.77003418413774,7.46792171933446,7.64412603737655,7.67147993838063,7.54724555373533
"PRR14",8.29007136446388,7.83772670441875,7.76617498173715,8.06785377900184,7.984896597258,8.02177355766197
"FBRS",9.16589836267442,9.23171228591203,9.12322092165122,9.26156164615999,9.05410663323099,9.38532815821139
"FRRS1",8.54676368638957,9.08842140179625,8.68371277021057,8.64910528485234,8.83930566451785,9.03602836851453
"PHKG2",7.77631805517158,7.59193220508566,7.73865841524946,7.92257592396497,7.72793696473109,7.75495436244591
"MFSD14A",9.28106800838729,9.5838262771059,9.5314654063958,9.54521396455616,9.57225344093349,9.51984952257658
"SASS6",7.62224657512544,7.91469708060964,7.72187086825328,7.81406556086324,8.01313782605429,7.89803531032289
"ITGAD",7.30811660368817,7.46688539358432,8.04109416314853,6.52705110757604,7.06474789308911,7.08669073613927
"MALSU1",8.00404024884137,7.67655545573302,7.92036045326213,7.87259900634383,7.56644529320802,8.05515581004091
"VPS8",10.1495053749551,10.2874196483454,10.3266835671534,10.224524480331,10.1443726372403,10.4585219332538
"GALK2",9.28687974340826,9.03912617694707,8.97616819025238,9.18897989575682,9.14921154277388,9.16137015146826
"B3GNT7",7.69699050131453,7.85086445822568,8.01869240272412,8.38199140277609,8.81749421836538,7.15461683197118
"MPV17L",7.15096521262239,7.10378430975599,6.688535158803,6.78886826226939,6.96707207937797,7.28984388665897
"BUB1B",6.91988745069549,6.49142822969128,7.34593701051075,6.65784012135635,7.26871837244433,7.25993892305122
"PDE6D",7.34445939598432,7.00580323340013,7.52152269974238,7.21807418634227,7.30762280249139,7.60233626520511
"EIF4A2",12.5339262381326,12.677831596404,12.7017473209196,12.5526322400276,12.6129283770276,12.4480551312581
"BRPF1",8.62284422473255,8.32153567719993,8.38185345125966,8.36875155551428,8.45016143467442,8.43684390749936
"RPUSD3",8.19907459005702,8.18011621032225,8.05875488267714,7.90405057204442,7.83413156837109,8.17104027296368
"TATDN2",9.53882569562801,9.3552415029241,9.33656700423138,9.40508048609214,9.07521460190425,9.29945598815988
"SEC13",9.41706670495931,9.50358085126655,9.46023410971394,9.37707084651002,9.35924698695813,9.78546490001793
"EXOG",8.14797738496553,8.3581398142926,8.35733049107995,8.22892335200355,8.07862443195623,8.35965373811463
"NTAN1",8.29593061526035,8.53200922625248,8.23936861667996,8.12189914869444,8.32666390077441,8.04964840899783
